species,total,target,reached
1,791380000.0,158276000.0,329990000.0
2,174080000.0,34816000.0,37300000.0
3,17130000.0,3426000.0,17130000.0
4,14580000.0,2916000.0,4520000.0
5,17260000.0,3452000.0,6510000.0
6,109690000.0,21938000.0,25860000.0
7,1415230000.0,283046000.0,711060000.0
8,1558630000.0,311726000.0,316560000.0
9,15270000.0,3054000.0,6170000.0
10,10000.0,2000.0,10000.0
11,10000.0,2000.0,10000.0
12,40000.0,8000.0,10000.0
13,70000.0,14000.0,20000.0
14,170000.0,34000.0,90000.0
15,110000.0,22000.0,70000.0
16,10000.0,2000.0,10000.0
17,150000.0,30000.0,30000.0
18,30000.0,6000.0,30000.0
19,80000.0,16000.0,20000.0
20,20000.0,4000.0,20000.0
21,252.1529,50.430578,50.522400000000005
22,470.7488,94.14976,96.2702
23,1113.857,222.77106,224.23499999999999
24,2086.27,417.25368,417.586
25,839.606,167.9213,181.87800000000001
